Respondent_ID,Persona_Cluster_Seed,Q1_Age_Group,Q2_Gender,Q3_Emirate,Q4_Monthly_Income_AED,Nationality,Occupation,Q5_Experience_Level,Q6_Days_Per_Week,Q7_Weekly_Distance_km,Q8_Terrain,Q9_Training_Goal,Q10_Foot_Width,Q11_Foot_Issues,Q12_Shoe_Priority,Q13_Sole_Type,Q14_Fit_Style,Q15_Color_Pref,Q16_Accessories,Q17_Trusted_Brands,Q18_Spend_Per_Pair_AED,Q19_Purchase_Frequency,Q20_Purchase_Channel,Q21_Brand_Switch_Motivator,Q22_Current_Shoe_Satisfaction_1_7,Q23_App_Comfort,Q24_WTP_App_AED_Month,Q25_App_Interest,Q26_Running_Motivation,Q27_Runner_Identity_1_5,Q28_Running_Club_Member,Q29_Peer_Influence_1_5,Q30_Sustainability_Importance_1_5,Q31_Min_Discount_To_Switch,Q32_Waits_For_Sales,Q33_Fitness_Apps_Used,Q34_Used_AI_Shopping_Before,Q35_Brand_Switch_Likelihood_1_5
UAE_0265,Ultra_Trail_Specialist,35-44,Male,Dubai,"Above 60,000",Western,Fitness professional,Experienced,5-6 days,50-80km,Trail/Desert,Full Marathon,Wide,,Comfort/Cushioning,Thick/Plush,Snug/Sock-like,Bold/Bright,Running belt/Hydration,ASICS; Saucony,Above 1200,Once a year,Brand stores; Running specialty,Expert AI,5,Comfortable,25-50 AED,Unlikely,Mental health,5,Yes,3,2,5% or less,No,Strava,No,2
UAE_0266,Wellness_Professional,25-34,Male,Dubai,"20,001-35,000",Arab (non-GCC),Corporate/Salaried,Beginner,I don't run yet,10-25km,Road/Pavement,10K,Standard/Medium,Plantar fasciitis; None,Comfort/Cushioning,Thin/Minimal,Standard fit,Solid neutral,GPS Watch,New Balance,600-900,Every 1-2 years,Online (Amazon/Noon),Expert AI,3,Comfortable,10-25 AED,Neutral/Unsure,Weight management,2,No,4,4,20-30%,No,Strava; Apple Watch/Health,Yes,2
UAE_0267,Wellness_Professional,35-44,Female,Sharjah,"35,001-60,000",Western,Corporate/Salaried,Intermediate,3-4 days,10-25km,Treadmill,Weight loss,Wide,Flat feet/Low arch,Speed/Performance,Medium/Balanced,Standard fit,Bold/Bright,GPS Watch,New Balance; Brooks,400-600,Every 3 months,Sports retailers; Online (Amazon/Noon); Running specialty,Professional review,4,Neutral,Won't pay,Likely would use,Social/Community,4,No,5,3,20-30%,No,Strava; Garmin; Apple Watch/Health,Yes,3
UAE_0268,Wellness_Professional,25-34,Female,Dubai,"10,001-20,000",Arab (non-GCC),Fitness professional,Intermediate,3-4 days,10-25km,Treadmill,No goal/fun,Narrow,Flat feet/Low arch; Shin splints; None,Durability/Value,Medium/Balanced,Roomy toe box,Limited Edition,GPS Watch; Foam roller,Nike; On Running,600-900,Every 1-2 years,Brand stores; Running specialty,Professional review,5,Comfortable,Up to 10 AED,Definitely would use,Mental health,3,No,4,3,20-30%,No,Apple Watch/Health,No,5
UAE_0269,Social_Community_Runner,35-44,Male,Dubai,"5,000-10,000",Arab (non-GCC),Other,Experienced,3-4 days,25-50km,Beach/Sand,5K,Standard/Medium,,Durability/Value,Medium/Balanced,Roomy toe box,Bold/Bright,Running belt/Hydration,Saucony; On Running,400-600,Every 4-6 months,Sports retailers,Professional review,4,Very comfortable,Up to 10 AED,Neutral/Unsure,Mental health,3,No,4,3,10-15%,No,,No,5
UAE_0270,Social_Community_Runner,35-44,Female,Dubai,"5,000-10,000",Western,Self-employed,Experienced,1-2 days,25-50km,Road/Pavement; Beach/Sand,Weight loss,Standard/Medium,,Durability/Value,Medium/Balanced,Snug/Sock-like,Limited Edition,,Nike,600-900,Every 4-6 months,Sports retailers,Expert AI,2,Slightly uncomfortable,10-25 AED,Likely would use,Mental health,5,Yes,4,3,10-15%,No,,No,3
UAE_0271,Wellness_Professional,55+,Male,Dubai,"Above 60,000",GCC National,Self-employed,Experienced,3-4 days,Less than 10km,Treadmill,5K,Standard/Medium,,Injury Prevention,Thick/Plush,Roomy toe box,Bold/Bright,Custom insoles; GPS Watch; Compression wear,Nike; ASICS,900-1200,Once a year,Sports retailers,Expert AI,5,Comfortable,10-25 AED,Likely would use,Mental health,4,No,5,3,10-15%,No,,Yes,1
UAE_0272,Wellness_Professional,18-24,Male,Ras Al Khaimah,"20,001-35,000",Arab (non-GCC),Self-employed,Intermediate,3-4 days,10-25km,Treadmill; Beach/Sand,10K,Standard/Medium,High arch,Injury Prevention,Medium/Balanced,Standard fit,Metallic/Premium,Running socks; Foam roller,Nike; Adidas; New Balance; Hoka,400-600,Every 4-6 months,Brand stores; Sports retailers; Online (Amazon/Noon),Friend/Community,4,Neutral,Won't pay,Neutral/Unsure,Weight management,4,No,3,5,20-30%,Yes,Garmin; Apple Watch/Health,No,5
UAE_0273,Ultra_Trail_Specialist,35-44,Male,Abu Dhabi,"10,001-20,000",South Asian,Self-employed,Intermediate,5-6 days,50-80km,Trail/Desert,Ultra/Trail,Not sure,,Speed/Performance,Thin/Minimal,Snug/Sock-like,Earthy/Natural,Custom insoles,New Balance; Saucony,200-400,Once a year,Sports retailers; Running specialty,Professional review,1,Slightly uncomfortable,50+ AED,Likely would use,Competitive performance,3,Yes,3,5,10-15%,No,Strava; Garmin; Apple Watch/Health,No,4
UAE_0274,Ultra_Trail_Specialist,35-44,Male,Abu Dhabi,"10,001-20,000",South Asian,Corporate/Salaried,Advanced/Competitive,3-4 days,10-25km,Trail/Desert,Ultra/Trail,Extra Wide,,Durability/Value,Medium/Balanced,Standard fit,Earthy/Natural,GPS Watch; Compression wear,No preference,200-400,Every 3 months,Online (Amazon/Noon),Expert AI,3,Very comfortable,50+ AED,Likely would use,Competitive performance,5,No,4,5,10-15%,Yes,,No,4
UAE_0275,Serious_Age_Grouper,45-54,Male,Dubai,"20,001-35,000",African,Corporate/Salaried,Advanced/Competitive,3-4 days,25-50km,Road/Pavement; Treadmill,Half Marathon,Narrow,,Comfort/Cushioning,Medium/Balanced,Snug/Sock-like,Solid neutral,GPS Watch,Hoka,900-1200,Every 3 months,Brand stores; Sports retailers; Running specialty,Discount,5,Very comfortable,10-25 AED,Likely would use,Competitive performance,5,Yes,3,5,20-30%,No,Garmin; Apple Watch/Health,No,4
UAE_0276,Serious_Age_Grouper,45-54,Male,Dubai,"Above 60,000",Western,Other,Advanced/Competitive,5-6 days,25-50km,Road/Pavement,Full Marathon,Narrow,,Comfort/Cushioning,No preference,Standard fit,Solid neutral,,Nike; New Balance; Hoka; Brooks,900-1200,Every 1-2 years,Online (Amazon/Noon); Running specialty,Free trial,5,Very comfortable,25-50 AED,Likely would use,Social/Community,5,No,4,4,10-15%,Yes,Strava; Apple Watch/Health,No,5
UAE_0277,Wellness_Professional,35-44,Male,Dubai,"5,000-10,000",Arab (non-GCC),Corporate/Salaried,Experienced,Daily,10-25km,Treadmill,10K,Wide,Flat feet/Low arch; Bunions,Injury Prevention,Thick/Plush,Standard fit,Metallic/Premium,,Nike; Adidas; New Balance,400-600,Once a year,Brand stores; Sports retailers; Online (Amazon/Noon),Expert AI,3,Neutral,Won't pay,Neutral/Unsure,Weight management,4,No,5,3,20-30%,No,,Yes,3
UAE_0278,Serious_Age_Grouper,35-44,Male,Sharjah,"20,001-35,000",GCC National,Fitness professional,Experienced,Daily,80+ km,Road/Pavement,Full Marathon,Narrow,,Speed/Performance,Medium/Balanced,Standard fit,Limited Edition,Running socks; Custom insoles,ASICS; Hoka,Above 1200,Every 3 months,Brand stores; During sales,Free trial,4,Slightly uncomfortable,10-25 AED,Neutral/Unsure,Competitive performance,4,No,2,3,20-30%,Yes,Strava; Nike Run Club,No,4
UAE_0279,Wellness_Professional,45-54,Female,Sharjah,"20,001-35,000",South Asian,Corporate/Salaried,Intermediate,Daily,25-50km,Road/Pavement; Treadmill,No goal/fun,Not sure,,Comfort/Cushioning,Thick/Plush,Standard fit,Bold/Bright,GPS Watch; Compression wear; Foam roller,Nike,Above 1200,Every 4-6 months,Brand stores; Sports retailers,Discount,7,Comfortable,50+ AED,Definitely would use,Mental health,4,Yes,5,4,50%+,Yes,,No,4
UAE_0280,Wellness_Professional,25-34,Female,Dubai,"20,001-35,000",GCC National,Student,Beginner,1-2 days,25-50km,Treadmill,5K,Wide,Plantar fasciitis; Shin splints; None,Durability/Value,Thick/Plush,Standard fit,Bold/Bright,Compression wear,Adidas; ASICS; New Balance; On Running,200-400,Every 4-6 months,Online (Amazon/Noon),Discount,4,Neutral,25-50 AED,Likely would use,Social/Community,3,No,3,5,10-15%,Yes,Strava; Garmin; Apple Watch/Health,No,3
UAE_0281,Ultra_Trail_Specialist,35-44,Male,Other UAE,"Above 60,000",East/SE Asian,Student,Experienced,Daily,80+ km,Road/Pavement; Trail/Desert,Ultra/Trail,Not sure,,Injury Prevention,Medium/Balanced,Roomy toe box,Bold/Bright,Running socks; GPS Watch; Compression wear; Running belt/Hydration,Adidas; ASICS; Hoka,600-900,Every 1-2 years,Sports retailers,Professional review,3,Very comfortable,10-25 AED,Unlikely,Mental health,5,Yes,3,4,20-30%,Yes,Strava; Apple Watch/Health; Nike Run Club,No,3
UAE_0282,Social_Community_Runner,25-34,Female,Ras Al Khaimah,"Below 5,000",Arab (non-GCC),Corporate/Salaried,Complete beginner,1-2 days,10-25km,Road/Pavement,Half Marathon,Extra Wide,,Speed/Performance,Medium/Balanced,Standard fit,Solid neutral,GPS Watch; Compression wear; Foam roller,Nike,600-900,Every 1-2 years,Online (Amazon/Noon),Social media,5,Very comfortable,Won't pay,Neutral/Unsure,Mental health,5,Yes,5,5,50%+,No,Apple Watch/Health; Nike Run Club,No,4
UAE_0283,Social_Community_Runner,18-24,Female,Dubai,"10,001-20,000",,Homemaker,Beginner,3-4 days,10-25km,Road/Pavement; Beach/Sand,Ultra/Trail,Standard/Medium,,Comfort/Cushioning,Medium/Balanced,Roomy toe box,Bold/Bright,Running socks; Custom insoles; Foam roller,Brooks,600-900,Every 1-2 years,Brand stores,Expert AI,3,Very comfortable,10-25 AED,Likely would use,Mental health,4,No,5,3,20-30%,Yes,Strava,Yes,3
UAE_0284,Aspirational_Beginner,25-34,Non-binary,Ras Al Khaimah,"5,000-10,000",South Asian,Corporate/Salaried,Intermediate,I don't run yet,Less than 10km,Treadmill; Beach/Sand,Full Marathon,Standard/Medium,,Style/Brand,Medium/Balanced,Standard fit,Solid neutral,Compression wear,Nike; Adidas,400-600,Once a year,Brand stores; Sports retailers; During sales,Free trial,3,Comfortable,Up to 10 AED,Likely would use,Weight management,3,No,4,4,10-15%,No,,No,5
UAE_0285,Serious_Age_Grouper,55+,Male,Abu Dhabi,"35,001-60,000",South Asian,Corporate/Salaried,Advanced/Competitive,3-4 days,10-25km,Road/Pavement,Dubai/AD Marathon,Standard/Medium,Knee pain,Injury Prevention,Thick/Plush,Snug/Sock-like,Bold/Bright,Running socks,Hoka,400-600,Every 3 months,Online (Amazon/Noon),Expert AI,4,Comfortable,Up to 10 AED,Likely would use,Competitive performance,5,Yes,3,5,5% or less,Yes,Strava; Apple Watch/Health,No,5
UAE_0286,Aspirational_Beginner,25-34,Female,Dubai,"10,001-20,000",Arab (non-GCC),Self-employed,Intermediate,I don't run yet,Less than 10km,Road/Pavement; Beach/Sand,No goal/fun,Wide,Flat feet/Low arch,Comfort/Cushioning,No preference,Roomy toe box,Metallic/Premium,,Nike; Adidas; ASICS,200-400,Every 1-2 years,Brand stores; Online (Amazon/Noon),Social media,6,Comfortable,Won't pay,Likely would use,Weight management,3,No,3,2,20-30%,Yes,,No,2
UAE_0287,Social_Community_Runner,45-54,Male,Ajman,"20,001-35,000",GCC National,Homemaker,Experienced,1-2 days,10-25km,Road/Pavement,10K,Standard/Medium,High arch; Bunions; None,Injury Prevention,No preference,Standard fit,Bold/Bright,GPS Watch,Nike; Brooks; On Running,400-600,Once a year,Sports retailers,Friend/Community,7,Comfortable,Won't pay,Neutral/Unsure,Mental health,5,Yes,5,4,20-30%,Yes,Strava; Apple Watch/Health,No,4
UAE_0288,Serious_Age_Grouper,25-34,Male,Dubai,"35,001-60,000",GCC National,Homemaker,Intermediate,3-4 days,50-80km,Road/Pavement; Trail/Desert,10K,Standard/Medium,High arch; Shin splints,Injury Prevention,Medium/Balanced,Roomy toe box,Solid neutral,,New Balance; Saucony,900-1200,Every 4-6 months,Sports retailers; Running specialty; Apps/Platforms,Professional review,4,Comfortable,25-50 AED,Definitely would use,Mental health,5,Yes,5,4,10-15%,No,Strava; Garmin,Yes,4
UAE_0289,Social_Community_Runner,25-34,Male,Abu Dhabi,"20,001-35,000",Arab (non-GCC),Corporate/Salaried,Intermediate,1-2 days,25-50km,Road/Pavement,Half Marathon,Not sure,,Speed/Performance,Medium/Balanced,Standard fit,Limited Edition,Running socks; Foam roller,Nike; ASICS; New Balance,600-900,Every 1-2 years,During sales,Friend/Community,2,Very comfortable,Won't pay,Unlikely,Weight management,5,Yes,3,4,10-15%,No,Garmin,Yes,4
UAE_0290,Serious_Age_Grouper,45-54,Male,Sharjah,"5,000-10,000",Arab (non-GCC),Corporate/Salaried,Advanced/Competitive,5-6 days,10-25km,Road/Pavement; Trail/Desert,Full Marathon,Standard/Medium,,Comfort/Cushioning,Medium/Balanced,Roomy toe box,Solid neutral,Compression wear,Nike,400-600,Every 1-2 years,Online (Amazon/Noon); Apps/Platforms,Free trial,4,Neutral,25-50 AED,Neutral/Unsure,Competitive performance,4,No,4,3,20-30%,Yes,Garmin; Apple Watch/Health,No,3
UAE_0291,Aspirational_Beginner,25-34,Male,Dubai,"20,001-35,000",South Asian,Student,Beginner,5-6 days,10-25km,Road/Pavement,Weight loss,Standard/Medium,Plantar fasciitis; Knee pain,Comfort/Cushioning,No preference,Standard fit,Bold/Bright,Running socks; GPS Watch,Nike; Adidas; Hoka,200-400,Once a year,Sports retailers,Discount,7,Neutral,Up to 10 AED,Definitely would use,Weight management,5,No,2,1,20-30%,No,,No,4
UAE_0292,Aspirational_Beginner,35-44,Male,Abu Dhabi,"5,000-10,000",South Asian,Homemaker,Intermediate,1-2 days,Less than 10km,Treadmill,10K,Standard/Medium,Flat feet/Low arch; High arch; Knee pain,Comfort/Cushioning,Thick/Plush,Standard fit,Bold/Bright,Running socks; Running belt/Hydration,Nike; Adidas,200-400,Once a year,Sports retailers,Discount,4,Comfortable,10-25 AED,Likely would use,Weight management,4,No,3,4,10-15%,No,Strava; Garmin,No,5
UAE_0293,Wellness_Professional,25-34,Female,Abu Dhabi,"5,000-10,000",Arab (non-GCC),Corporate/Salaried,Intermediate,5-6 days,10-25km,Treadmill,10K,Standard/Medium,Flat feet/Low arch; Plantar fasciitis; None,Injury Prevention,Medium/Balanced,Roomy toe box,Metallic/Premium,Running socks,Adidas; Saucony; On Running,200-400,Every 4-6 months,Sports retailers,Expert AI,4,Very comfortable,25-50 AED,Likely would use,Mental health,4,Yes,4,4,20-30%,No,Apple Watch/Health,Yes,2
UAE_0294,Social_Community_Runner,45-54,Male,Dubai,"35,001-60,000",Arab (non-GCC),Corporate/Salaried,Experienced,5-6 days,Less than 10km,Road/Pavement,Half Marathon,Narrow,Shin splints,Injury Prevention,Medium/Balanced,Standard fit,Earthy/Natural,,ASICS,400-600,Every 1-2 years,Online (Amazon/Noon),Discount,6,Very comfortable,Won't pay,Unlikely,Mental health,3,Yes,4,4,10-15%,No,,No,3
UAE_0295,Aspirational_Beginner,25-34,Male,Dubai,"10,001-20,000",Western,Fitness professional,Intermediate,1-2 days,10-25km,Road/Pavement,10K,Standard/Medium,Shin splints,Durability/Value,Thick/Plush,Adjustable/Boa,Solid neutral,,Hoka,600-900,Every 1-2 years,Sports retailers,Professional review,1,Neutral,Won't pay,Definitely would use,Weight management,1,Yes,1,1,20-30%,No,,No,4
UAE_0296,Serious_Age_Grouper,35-44,Male,Dubai,"35,001-60,000",Western,Corporate/Salaried,Advanced/Competitive,Daily,80+ km,Road/Pavement; Track,Half Marathon,Standard/Medium,,Speed/Performance,Thin/Minimal,Standard fit,Earthy/Natural,GPS Watch,Saucony,400-600,Once a year,Brand stores; Online (Amazon/Noon); During sales,Expert AI,7,Comfortable,25-50 AED,Unlikely,Explore outdoors,5,Yes,5,5,20-30%,Yes,Nike Run Club,Yes,5
UAE_0297,Wellness_Professional,35-44,Male,Sharjah,"5,000-10,000",South Asian,Corporate/Salaried,Beginner,1-2 days,10-25km,Road/Pavement,10K,Not sure,,Style/Brand,Thick/Plush,Adjustable/Boa,Solid neutral,Foam roller,Hoka,400-600,Once a year,Brand stores; Sports retailers; During sales,Professional review,3,Neutral,10-25 AED,Definitely would use,Competitive performance,4,No,3,4,50%+,No,Strava; Garmin; Apple Watch/Health,Yes,4
UAE_0298,Aspirational_Beginner,18-24,Male,Abu Dhabi,"5,000-10,000",GCC National,Corporate/Salaried,Complete beginner,3-4 days,10-25km,Road/Pavement; Treadmill,Weight loss,Standard/Medium,,Comfort/Cushioning,Medium/Balanced,Snug/Sock-like,Bold/Bright,,Nike; Adidas,400-600,Once a year,Sports retailers; During sales,Discount,6,Slightly uncomfortable,Won't pay,Definitely would not,Mental health,3,No,2,1,50%+,Yes,Strava,Yes,1
UAE_0299,Serious_Age_Grouper,45-54,Male,Abu Dhabi,"35,001-60,000",South Asian,Corporate/Salaried,Advanced/Competitive,5-6 days,50-80km,Road/Pavement,Half Marathon,Standard/Medium,,Durability/Value,Medium/Balanced,Snug/Sock-like,Metallic/Premium,Custom insoles; GPS Watch; Compression wear,Nike; ASICS,900-1200,Every 3 months,Apps/Platforms,Social media,4,Neutral,10-25 AED,Likely would use,Social/Community,4,No,2,4,20-30%,No,Strava; Apple Watch/Health,No,2
UAE_0300,Aspirational_Beginner,25-34,Female,Other UAE,"35,001-60,000",East/SE Asian,Corporate/Salaried,Intermediate,3-4 days,Less than 10km,Track,Weight loss,Standard/Medium,,Speed/Performance,Thick/Plush,Adjustable/Boa,Bold/Bright,,Adidas; Hoka,400-600,Rarely/Not yet,Brand stores; Sports retailers,Friend/Community,7,Comfortable,Won't pay,Neutral/Unsure,Weight management,5,Yes,1,3,20-30%,Yes,Nike Run Club,No,4
UAE_0301,Aspirational_Beginner,25-34,Male,Abu Dhabi,"5,000-10,000",,Corporate/Salaried,Beginner,1-2 days,Less than 10km,Beach/Sand,No goal/fun,Not sure,Knee pain; None,Comfort/Cushioning,Thick/Plush,Standard fit,Bold/Bright,Running belt/Hydration,Nike,200-400,Every 1-2 years,Sports retailers; Online (Amazon/Noon),Expert AI,4,Comfortable,10-25 AED,Neutral/Unsure,Social/Community,2,No,4,5,20-30%,No,Nike Run Club,No,5
UAE_0302,Serious_Age_Grouper,35-44,Female,Abu Dhabi,"35,001-60,000",East/SE Asian,Self-employed,Advanced/Competitive,3-4 days,25-50km,Road/Pavement,Weight loss,Wide,,Durability/Value,Thin/Minimal,Standard fit,Metallic/Premium,Foam roller,Nike; ASICS; Saucony,600-900,Every 4-6 months,Sports retailers,Expert AI,6,Comfortable,Won't pay,Definitely would use,Competitive performance,5,Yes,4,4,20-30%,No,Strava,No,4
UAE_0303,Serious_Age_Grouper,35-44,Female,Ras Al Khaimah,"Below 5,000",East/SE Asian,Corporate/Salaried,Experienced,Daily,50-80km,Road/Pavement,Half Marathon,Wide,Knee pain,Durability/Value,Medium/Balanced,Roomy toe box,Metallic/Premium,GPS Watch; Compression wear; Running belt/Hydration,Nike; Hoka,600-900,Every 4-6 months,Online (Amazon/Noon),Expert AI,5,Very comfortable,50+ AED,Likely would use,Explore outdoors,4,Yes,3,1,50%+,No,,Yes,4
UAE_0304,Serious_Age_Grouper,35-44,Non-binary,Sharjah,"Above 60,000",Arab (non-GCC),Corporate/Salaried,Experienced,5-6 days,50-80km,Road/Pavement,Half Marathon,Standard/Medium,Plantar fasciitis; Knee pain,Injury Prevention,Thick/Plush,Roomy toe box,Metallic/Premium,GPS Watch; Foam roller,Nike; Adidas; Hoka; Brooks,Above 1200,Every 3 months,Online (Amazon/Noon),Professional review,2,Very comfortable,Up to 10 AED,Definitely would use,Competitive performance,5,Yes,4,4,20-30%,Yes,Apple Watch/Health,No,4
UAE_0305,Wellness_Professional,25-34,Female,Dubai,"20,001-35,000",South Asian,Corporate/Salaried,Intermediate,3-4 days,25-50km,Road/Pavement,No goal/fun,Standard/Medium,,Comfort/Cushioning,No preference,Standard fit,Earthy/Natural,Running socks,ASICS; Hoka,200-400,Every 3 months,Brand stores; Sports retailers; Online (Amazon/Noon),Discount,4,Comfortable,25-50 AED,Definitely would use,Mental health,3,Yes,3,3,20-30%,Yes,Garmin; Nike Run Club,Yes,5
UAE_0306,Casual_Lifestyle_Runner,25-34,Male,Abu Dhabi,"10,001-20,000",Arab (non-GCC),Student,Intermediate,1-2 days,Less than 10km,Treadmill,Weight loss,Wide,,Style/Brand,Medium/Balanced,Snug/Sock-like,Solid neutral,,On Running,Under 200,Every 4-6 months,Brand stores; Sports retailers,Social media,5,Comfortable,Won't pay,Unlikely,General fitness,2,Yes,5,2,5% or less,No,,No,3
UAE_0307,Serious_Age_Grouper,35-44,Female,Dubai,"10,001-20,000",GCC National,Corporate/Salaried,Experienced,5-6 days,25-50km,Road/Pavement,Full Marathon,Standard/Medium,Knee pain,Speed/Performance,Thin/Minimal,Snug/Sock-like,Metallic/Premium,Running socks; Custom insoles; Compression wear,New Balance; Brooks,900-1200,Every 3 months,Brand stores,Friend/Community,5,Comfortable,Up to 10 AED,Definitely would use,Competitive performance,3,Yes,4,4,20-30%,Yes,Strava,No,4
UAE_0308,Social_Community_Runner,25-34,Female,Sharjah,,,Student,Intermediate,5-6 days,80+ km,Beach/Sand,No goal/fun,Wide,,Comfort/Cushioning,Medium/Balanced,Roomy toe box,Limited Edition,Running socks; Foam roller,Adidas,400-600,Once a year,Online (Amazon/Noon),Friend/Community,5,Neutral,Up to 10 AED,Neutral/Unsure,Mental health,5,No,4,5,10-15%,No,Strava; Apple Watch/Health,Yes,4
UAE_0309,Wellness_Professional,25-34,Female,Abu Dhabi,"10,001-20,000",,Self-employed,Beginner,3-4 days,10-25km,Treadmill,Weight loss,Standard/Medium,Knee pain,Comfort/Cushioning,Thick/Plush,Standard fit,Earthy/Natural,Running socks,Brooks; Saucony,200-400,Every 3 months,Online (Amazon/Noon); Apps/Platforms; During sales,Expert AI,2,Neutral,25-50 AED,Neutral/Unsure,Mental health,3,Yes,3,4,20-30%,Yes,Strava; Apple Watch/Health,No,4
UAE_0310,Aspirational_Beginner,25-34,Female,Dubai,"5,000-10,000",Western,Student,Complete beginner,3-4 days,10-25km,Road/Pavement; Treadmill,5K,Narrow,Flat feet/Low arch; Knee pain; Bunions,Durability/Value,Medium/Balanced,Snug/Sock-like,Earthy/Natural,,No preference,Under 200,Once a year,Online (Amazon/Noon),Expert AI,5,Very comfortable,Won't pay,Neutral/Unsure,Mental health,4,No,4,3,20-30%,No,,No,4
UAE_0311,Social_Community_Runner,35-44,Female,Ras Al Khaimah,,Arab (non-GCC),Corporate/Salaried,Intermediate,3-4 days,25-50km,Beach/Sand,No goal/fun,Standard/Medium,,Speed/Performance,Medium/Balanced,Roomy toe box,Earthy/Natural,GPS Watch,Adidas,200-400,Every 4-6 months,Brand stores; Sports retailers; Online (Amazon/Noon),Professional review,4,Very comfortable,Won't pay,Definitely would not,Social/Community,3,No,4,5,10-15%,No,,Yes,3
UAE_0312,Aspirational_Beginner,55+,Female,Sharjah,"10,001-20,000",Arab (non-GCC),Student,Beginner,3-4 days,Less than 10km,Treadmill,5K,Wide,Knee pain,Durability/Value,Medium/Balanced,Roomy toe box,Bold/Bright,,Nike; Adidas; ASICS; Brooks,400-600,Every 4-6 months,Brand stores; Sports retailers,Discount,2,Neutral,Up to 10 AED,Definitely would not,Weight management,3,No,3,5,20-30%,No,,No,3
UAE_0313,Aspirational_Beginner,35-44,Female,Dubai,"10,001-20,000",South Asian,Self-employed,Complete beginner,1-2 days,Less than 10km,Beach/Sand,No goal/fun,Standard/Medium,,Injury Prevention,Thick/Plush,Standard fit,Limited Edition,,Adidas; Hoka; On Running,Under 200,Every 1-2 years,Sports retailers; During sales,Expert AI,3,Neutral,10-25 AED,Neutral/Unsure,Mental health,3,No,2,1,10-15%,No,Apple Watch/Health,No,3
UAE_0314,Casual_Lifestyle_Runner,45-54,Female,Dubai,"5,000-10,000",East/SE Asian,Student,Intermediate,1-2 days,Less than 10km,Track,No goal/fun,Narrow,,Durability/Value,Medium/Balanced,Snug/Sock-like,Metallic/Premium,Running socks,Adidas; Hoka,400-600,Every 1-2 years,Sports retailers,Social media,6,Comfortable,10-25 AED,Neutral/Unsure,Weight management,1,No,5,4,50%+,Yes,,No,4
UAE_0315,Ultra_Trail_Specialist,35-44,Male,Dubai,,GCC National,Corporate/Salaried,Advanced/Competitive,Daily,80+ km,Road/Pavement,No goal/fun,Narrow,High arch; Knee pain,Comfort/Cushioning,Thin/Minimal,Standard fit,Solid neutral,Foam roller,Nike,900-1200,Every 3 months,Running specialty,Discount,6,Comfortable,Up to 10 AED,Likely would use,Explore outdoors,4,No,2,4,50%+,No,Strava,No,3
UAE_0316,Wellness_Professional,25-34,Male,Dubai,"35,001-60,000",Western,Student,Complete beginner,3-4 days,Less than 10km,Road/Pavement,10K,Standard/Medium,High arch,Durability/Value,Medium/Balanced,Standard fit,Bold/Bright,GPS Watch; Running belt/Hydration,Hoka; On Running,Under 200,Every 4-6 months,Brand stores; Sports retailers,Expert AI,5,Neutral,10-25 AED,Likely would use,General fitness,3,Yes,3,5,5% or less,No,Apple Watch/Health,Yes,3
UAE_0317,Social_Community_Runner,45-54,Female,Sharjah,"35,001-60,000",East/SE Asian,Self-employed,Advanced/Competitive,1-2 days,25-50km,Road/Pavement,Half Marathon,Narrow,Bunions,Injury Prevention,Thick/Plush,Snug/Sock-like,Bold/Bright,,Adidas; ASICS,Under 200,Rarely/Not yet,Brand stores; Online (Amazon/Noon),Friend/Community,5,Slightly uncomfortable,10-25 AED,Likely would use,General fitness,5,Yes,4,5,50%+,No,Nike Run Club,Yes,4
UAE_0318,Aspirational_Beginner,25-34,Male,Dubai,"Above 60,000",,Homemaker,Beginner,5-6 days,Less than 10km,Treadmill,Weight loss,Not sure,,Comfort/Cushioning,No preference,Roomy toe box,Bold/Bright,Custom insoles,New Balance; Saucony; On Running,Above 1200,Once a year,Sports retailers; Online (Amazon/Noon),Social media,5,Neutral,Up to 10 AED,Definitely would use,Social/Community,3,Yes,3,5,10-15%,Yes,,No,2
UAE_0319,Aspirational_Beginner,25-34,Female,Sharjah,"35,001-60,000",Arab (non-GCC),Student,Beginner,1-2 days,Less than 10km,Treadmill,No goal/fun,Standard/Medium,High arch; None,Speed/Performance,Thick/Plush,Roomy toe box,Solid neutral,,New Balance,200-400,Once a year,Brand stores,Discount,4,Comfortable,Up to 10 AED,Unlikely,Mental health,5,No,4,3,10-15%,Yes,Strava; Apple Watch/Health,No,2
UAE_0320,Aspirational_Beginner,25-34,Prefer not to say,Abu Dhabi,"10,001-20,000",Western,Fitness professional,Intermediate,1-2 days,10-25km,Road/Pavement,Full Marathon,Narrow,,Durability/Value,Thick/Plush,Standard fit,Solid neutral,,Nike; Adidas,400-600,Rarely/Not yet,During sales,Expert AI,3,Very comfortable,Won't pay,Definitely would use,General fitness,5,No,5,2,50%+,Yes,Strava; Nike Run Club,No,1
UAE_0321,Serious_Age_Grouper,35-44,Male,Other UAE,"10,001-20,000",South Asian,Self-employed,Advanced/Competitive,5-6 days,80+ km,Road/Pavement,Half Marathon,Wide,,Speed/Performance,No preference,Standard fit,Bold/Bright,Running socks; GPS Watch,Nike; ASICS,400-600,Every 4-6 months,Brand stores; Running specialty,Expert AI,5,Comfortable,25-50 AED,Definitely would use,Doctor advice,4,Yes,4,5,10-15%,No,Apple Watch/Health,No,4
